model,best_params,default_threshold,default_validation_f1,default_validation_f2,best_f1_threshold,best_f1_validation_f1,best_f1_validation_f2,best_f2_threshold,best_f2_validation_f1,best_f2_validation_f2,validation_probability_min,validation_probability_mean,validation_probability_max,selected_by_default_f1,selected_by_tuned_f1,selected_by_tuned_f2,selected_final,final_selection_strategy
Logistic Regression baseline,,0.5,0.7549953064234947,0.8674349808948602,0.61,0.8215816703621581,0.8944895068881163,0.61,0.8215816703621581,0.8944895068881163,1.8988648173836401e-22,0.14795713274997765,0.9999999999579094,True,True,True,True,validation_f1_threshold_tuned
Decision Tree,"{""classifier__max_depth"": 4, ""classifier__min_samples_leaf"": 1}",0.5,0.5001278445410381,0.3856466876971609,0.13,0.5001278445410381,0.3856466876971609,0.13,0.5001278445410381,0.3856466876971609,0.0,0.06630133796204644,0.9990511048768991,False,False,False,False,
Random Forest,"{""classifier__max_depth"": 8, ""classifier__min_samples_leaf"": 1}",0.5,0.531328320802005,0.41539305588212244,0.31,0.5525125029768992,0.4472547809993831,0.19,0.5202425190690397,0.47903760265091483,0.0,0.0845543260365137,0.8783841568820115,False,False,False,False,
Extra Trees,,0.5,0.04089527493782813,0.02986761381982564,0.04,0.6951583980872684,0.7522152512774076,0.03,0.6892575928008999,0.7716768465461873,0.0,0.035915335161247716,0.72,False,False,False,False,
HistGradientBoostingClassifier,"{""classifier__learning_rate"": 0.05, ""classifier__max_leaf_nodes"": 31}",0.5,0.6602520045819015,0.5485762144053601,0.11,0.6651675286710141,0.5595490314769975,0.11,0.6651675286710141,0.5595490314769975,8.846580532763477e-05,0.042908806867548145,0.9908381473376834,False,False,False,False,
