model,best_params,validation_probability_min,validation_probability_mean,validation_probability_max,default_0_50_accuracy,default_0_50_precision,default_0_50_recall,default_0_50_f1,default_0_50_f2,default_0_50_tn,default_0_50_fp,default_0_50_fn,default_0_50_tp,default_0_50_predicted_normal_count,default_0_50_predicted_failure_count,default_0_50_roc_auc,best_f1_threshold,best_f1_threshold_threshold,best_f1_threshold_accuracy,best_f1_threshold_precision,best_f1_threshold_recall,best_f1_threshold_f1,best_f1_threshold_f2,best_f1_threshold_tn,best_f1_threshold_fp,best_f1_threshold_fn,best_f1_threshold_tp,best_f1_threshold_predicted_normal_count,best_f1_threshold_predicted_failure_count,best_f1_threshold_roc_auc,best_f2_threshold,best_f2_threshold_threshold,best_f2_threshold_accuracy,best_f2_threshold_precision,best_f2_threshold_recall,best_f2_threshold_f1,best_f2_threshold_f2,best_f2_threshold_tn,best_f2_threshold_fp,best_f2_threshold_fn,best_f2_threshold_tp,best_f2_threshold_predicted_normal_count,best_f2_threshold_predicted_failure_count,best_f2_threshold_roc_auc
Logistic Regression baseline,,1.8988648173836401e-22,0.14795713274997765,0.9999999999579094,0.9405292796458449,0.6208645787384208,0.9630516592541909,0.7549953064234947,0.8674349808948602,26079,1719,108,2815,26187,4534,0.9577398792919262,0.61,0.61,0.9607109143582566,0.7233211868818323,0.9507355456722545,0.8215816703621581,0.8944895068881163,26735,1063,144,2779,26879,3842,0.9577398792919262,0.61,0.61,0.9607109143582566,0.7233211868818323,0.9507355456722545,0.8215816703621581,0.8944895068881163,26735,1063,144,2779,26879,3842,0.9577398792919262
Decision Tree,"{""classifier__max_depth"": 4, ""classifier__min_samples_leaf"": 1}",0.0,0.06630133796204644,0.9990511048768991,0.9363627486084437,0.9898785425101214,0.3345877523092713,0.5001278445410381,0.3856466876971609,27788,10,1945,978,29733,988,0.3454789374505391,0.13,0.13,0.9363627486084437,0.9898785425101214,0.3345877523092713,0.5001278445410381,0.3856466876971609,27788,10,1945,978,29733,988,0.3454789374505391,0.13,0.13,0.9363627486084437,0.9898785425101214,0.3345877523092713,0.5001278445410381,0.3856466876971609,27788,10,1945,978,29733,988,0.3454789374505391
Random Forest,"{""classifier__max_depth"": 8, ""classifier__min_samples_leaf"": 1}",0.0,0.08455432603651368,0.8783841568820114,0.9391295856254679,0.993439550140581,0.36264112213479305,0.531328320802005,0.41539305588212244,27791,7,1863,1060,29654,1067,0.5670063921142452,0.31,0.31,0.9388366264119007,0.9090909090909091,0.39685254875128295,0.5525125029768992,0.4472547809993831,27682,116,1763,1160,29445,1276,0.5670063921142452,0.19,0.19,0.920152338791055,0.6073059360730594,0.45501197399931576,0.5202425190690397,0.47903760265091483,26938,860,1593,1330,28531,2190,0.5670063921142452
Extra Trees,,0.0,0.035915335161247716,0.72,0.8870153966342241,0.10632183908045977,0.02531645569620253,0.04089527493782813,0.02986761381982564,27176,622,2849,74,30025,696,0.9207097944294227,0.04,0.04,0.9335959115914195,0.617139824887238,0.7957577830995552,0.6951583980872684,0.7522152512774076,26355,1443,597,2326,26952,3769,0.9207097944294227,0.03,0.03,0.9280622375573712,0.5851038433993794,0.8385220663701677,0.6892575928008999,0.7716768465461873,26060,1738,472,2451,26532,4189,0.9207097944294227
HistGradientBoostingClassifier,"{""classifier__learning_rate"": 0.05, ""classifier__max_leaf_nodes"": 31}",8.846580532763477e-05,0.042908806867548145,0.9908381473376834,0.9517268318088604,0.9993065187239945,0.4929866575436196,0.6602520045819015,0.5485762144053601,27797,1,1482,1441,29279,1442,0.8481591709822318,0.11,0.11,0.9515315256664822,0.9704724409448819,0.5059869996578857,0.6651675286710141,0.5595490314769975,27753,45,1444,1479,29197,1524,0.8481591709822318,0.11,0.11,0.9515315256664822,0.9704724409448819,0.5059869996578857,0.6651675286710141,0.5595490314769975,27753,45,1444,1479,29197,1524,0.8481591709822318
