model,split_strategy,test_size,random_state,train_rows,test_rows,feature_count,train_class_0,train_class_1,test_class_0,test_class_1,accuracy,precision,recall,f1,f2,tn,fp,fn,tp,predicted_normal_count,predicted_failure_count,roc_auc,interpretation_note
Logistic Regression baseline,stratified random window-level train/test split,0.2,42,202176,50544,76,198016,4160,49504,1040,0.9636158594491928,0.35727045373347627,0.9615384615384616,0.5209690023443605,0.7184940364994971,47705,1799,40,1000,47745,2799,0.9849137385168565,Optimistic window-level comparison only: this stratified split mixes windows from the same failure events across train/test and can overestimate deployment performance.
Decision Tree,stratified random window-level train/test split,0.2,42,202176,50544,76,198016,4160,49504,1040,0.9951131687242798,0.8421052631578947,0.9384615384615385,0.8876762164620282,0.9174656890392932,49321,183,64,976,49385,1159,0.96869372055405,Optimistic window-level comparison only: this stratified split mixes windows from the same failure events across train/test and can overestimate deployment performance.
Random Forest,stratified random window-level train/test split,0.2,42,202176,50544,76,198016,4160,49504,1040,0.9963398227287116,0.8638297872340426,0.9759615384615384,0.9164785553047404,0.9512652296157451,49344,160,25,1015,49369,1175,0.9949988889786685,Optimistic window-level comparison only: this stratified split mixes windows from the same failure events across train/test and can overestimate deployment performance.
Extra Trees,stratified random window-level train/test split,0.2,42,202176,50544,76,198016,4160,49504,1040,0.9963398227287116,0.8694900605012964,0.9673076923076923,0.9157942649066909,0.9460221929659582,49353,151,34,1006,49387,1157,0.9926439704950027,Optimistic window-level comparison only: this stratified split mixes windows from the same failure events across train/test and can overestimate deployment performance.
HistGradientBoostingClassifier,stratified random window-level train/test split,0.2,42,202176,50544,76,198016,4160,49504,1040,0.9954890788224121,0.8300813008130081,0.9817307692307692,0.8995594713656387,0.9471243042671614,49295,209,19,1021,49314,1230,0.998630967272264,Optimistic window-level comparison only: this stratified split mixes windows from the same failure events across train/test and can overestimate deployment performance.
